# Player Status — Stats, ATK, DEF and Attribute Breakdown (Part 2)

== Stats by Class ==
Hunter
Lv | HP | Attack | Defense | BP
92 | 603 | 1942 | 991 | 2437.5
93 | 607 | 1948 | 994 | 2445
94 | 611 | 1954 | 997 | 2452.5
95 | 615 | 1960 | 1000 | 2460
96 | 619 | 1966 | 1003 | 2467.5
97 | 623 | 1972 | 1006 | 2475
98 | 627 | 1978 | 1009 | 2482.5
99 | 631 | 1984 | 1012 | 2490
100 | 635 | 1990 | 1015 | 2497.5
101 | 639 | 1996 | 1018 | 2505
102 | 643 | 2002 | 1021 | 2512.5
103 | 647 | 2008 | 1024 | 2520
104 | 651 | 2014 | 1027 | 2527.5
105 | 655 | 2020 | 1030 | 2535
106 | 659 | 2026 | 1033 | 2542.5
107 | 663 | 2032 | 1036 | 2550
108 | 667 | 2038 | 1039 | 2557.5
109 | 671 | 2044 | 1042 | 2565
110 | 675 | 2050 | 1045 | 2572.5
111 | 679 | 2056 | 1048 | 2580
112 | 683 | 2062 | 1051 | 2587.5
113 | 687 | 2068 | 1054 | 2595
114 | 691 | 2074 | 1057 | 2602.5
115 | 695 | 2080 | 1060 | 2610
Lv | HP | Attack | Defense | BP
Braver
Lv | HP | Attack | Defense | BP
1 | 270 | 452 | 302 | 603
2 | 273 | 461 | 307 | 614.5
3 | 275 | 469 | 311 | 624.5
4 | 278 | 478 | 316 | 636
5 | 281 | 488 | 321 | 648.5
6 | 284 | 497 | 326 | 660
7 | 286 | 507 | 331 | 672.5
8 | 289 | 516 | 336 | 684
9 | 292 | 526 | 341 | 696.5
10 | 295 | 536 | 347 | 709.5
11 | 298 | 547 | 352 | 723
12 | 301 | 557 | 357 | 735.5
13 | 304 | 568 | 363 | 749.5
14 | 307 | 579 | 368 | 763
15 | 310 | 590 | 374 | 777
16 | 313 | 601 | 380 | 791
17 | 316 | 612 | 386 | 805
18 | 319 | 624 | 392 | 820
19 | 322 | 636 | 398 | 835
20 | 325 | 648 | 404 | 850
21 | 328 | 661 | 410 | 866
22 | 331 | 674 | 416 | 882
23 | 335 | 686 | 423 | 897.5
24 | 338 | 700 | 429 | 914.5
25 | 341 | 713 | 436 | 931
26 | 345 | 727 | 443 | 948.5
27 | 348 | 741 | 450 | 966
28 | 351 | 755 | 457 | 983.5
29 | 355 | 769 | 464 | 1001
30 | 358 | 784 | 471 | 1019.5
31 | 362 | 799 | 478 | 1038
32 | 365 | 815 | 485 | 1057.5
33 | 369 | 830 | 493 | 1076.5
34 | 373 | 846 | 501 | 1096.5
35 | 376 | 862 | 508 | 1116
36 | 380 | 879 | 516 | 1137
37 | 384 | 896 | 524 | 1158
38 | 387 | 913 | 532 | 1179
39 | 391 | 931 | 540 | 1201
40 | 395 | 948 | 549 | 1222.5
41 | 399 | 967 | 557 | 1245.5
42 | 403 | 985 | 566 | 1268
43 | 407 | 1004 | 575 | 1291.5
44 | 411 | 1023 | 584 | 1315
45 | 415 | 1043 | 593 | 1339.5
46 | 419 | 1063 | 602 | 1364
47 | 423 | 1083 | 611 | 1388.5
48 | 427 | 1104 | 620 | 1414
49 | 431 | 1126 | 630 | 1441
50 | 436 | 1147 | 640 | 1467
51 | 440 | 1169 | 650 | 1494
52 | 444 | 1192 | 660 | 1522
53 | 448 | 1215 | 670 | 1550
54 | 453 | 1238 | 680 | 1578
55 | 457 | 1262 | 691 | 1607.5
56 | 462 | 1286 | 701 | 1636.5
57 | 466 | 1311 | 712 | 1667
58 | 471 | 1336 | 723 | 1697.5
59 | 476 | 1361 | 735 | 1728.5
60 | 480 | 1388 | 746 | 1761
61 | 485 | 1414 | 757 | 1792.5
62 | 490 | 1441 | 769 | 1825.5
63 | 494 | 1469 | 781 | 1859.5
64 | 499 | 1497 | 793 | 1893.5
65 | 504 | 1526 | 805 | 1928.5
66 | 509 | 1556 | 818 | 1965
67 | 514 | 1585 | 831 | 2000.5
68 | 519 | 1616 | 843 | 2037.5
69 | 524 | 1647 | 856 | 2075
70 | 529 | 1679 | 870 | 2114
71 | 535 | 1711 | 883 | 2152.5
72 | 540 | 1744 | 897 | 2192.5
73 | 545 | 1777 | 911 | 2232.5
74 | 550 | 1811 | 925 | 2273.5
75 | 556 | 1846 | 939 | 2315.5
76 | 561 | 1852 | 942 | 2323
77 | 566 | 1858 | 945 | 2330.5
78 | 571 | 1864 | 948 | 2338
79 | 576 | 1870 | 951 | 2345.5
80 | 581 | 1876 | 954 | 2353
81 | 586 | 1882 | 957 | 2360.5
82 | 591 | 1888 | 960 | 2368
83 | 596 | 1894 | 963 | 2375.5
84 | 601 | 1900 | 966 | 2383
85 | 606 | 1906 | 969 | 2390.5
86 | 611 | 1912 | 972 | 2398
87 | 616 | 1918 | 975 | 2405.5
88 | 621 | 1924 | 978 | 2413
89 | 626 | 1930 | 981 | 2420.5
90 | 631 | 1936 | 984 | 2428
91 | 636 | 1942 | 987 | 2435.5
92 | 641 | 1948 | 990 | 2443
93 | 646 | 1954 | 993 | 2450.5
94 | 651 | 1960 | 996 | 2458
95 | 656 | 1966 | 999 | 2465.5
96 | 661 | 1972 | 1002 | 2473
97 | 666 | 1978 | 1005 | 2480.5
98 | 671 | 1984 | 1008 | 2488
99 | 676 | 1990 | 1011 | 2495.5
100 | 681 | 1996 | 1014 | 2503
101 | 686 | 2002 | 1017 | 2510.5
102 | 691 | 2008 | 1020 | 2518
103 | 696 | 2014 | 1023 | 2525.5
104 | 701 | 2020 | 1026 | 2533
105 | 706 | 2026 | 1029 | 2540.5
106 | 711 | 2032 | 1032 | 2548
107 | 716 | 2038 | 1035 | 2555.5
108 | 721 | 2044 | 1038 | 2563
109 | 726 | 2050 | 1041 | 2570.5
110 | 731 | 2056 | 1044 | 2578
111 | 736 | 2062 | 1047 | 2585.5
112 | 741 | 2068 | 1050 | 2593
113 | 746 | 2074 | 1053 | 2600.5
114 | 751 | 2080 | 1056 | 2608
115 | 756 | 2086 | 1059 | 2615.5
Lv | HP | Attack | Defense | BP
Bouncer
Lv | HP | Attack | Defense | BP
1 | 275 | 453 | 299 | 602.5
2 | 278 | 462 | 304 | 614
3 | 280 | 470 | 308 | 624
4 | 283 | 479 | 313 | 635.5
5 | 286 | 489 | 318 | 648
6 | 289 | 498 | 323 | 659.5
7 | 292 | 508 | 328 | 672
8 | 294 | 517 | 333 | 683.5
9 | 297 | 527 | 338 | 696
10 | 300 | 537 | 344 | 709
11 | 303 | 548 | 349 | 722.5
12 | 306 | 558 | 354 | 735
13 | 309 | 569 | 360 | 749
14 | 312 | 580 | 365 | 762.5
15 | 315 | 591 | 371 | 776.5
16 | 318 | 602 | 377 | 790.5
17 | 321 | 613 | 383 | 804.5
18 | 325 | 625 | 389 | 819.5
19 | 328 | 637 | 395 | 834.5
20 | 331 | 649 | 401 | 849.5
21 | 334 | 662 | 407 | 865.5
22 | 338 | 675 | 413 | 881.5
23 | 341 | 687 | 420 | 897
24 | 344 | 701 | 426 | 914
25 | 348 | 714 | 433 | 930.5
26 | 351 | 728 | 440 | 948
27 | 354 | 742 | 447 | 965.5
28 | 358 | 756 | 454 | 983
29 | 361 | 770 | 461 | 1000.5
30 | 365 | 785 | 468 | 1019
31 | 369 | 800 | 475 | 1037.5
32 | 372 | 816 | 482 | 1057
33 | 376 | 831 | 490 | 1076
34 | 379 | 847 | 498 | 1096
35 | 383 | 863 | 505 | 1115.5
36 | 387 | 880 | 513 | 1136.5
37 | 391 | 897 | 521 | 1157.5
38 | 395 | 914 | 529 | 1178.5
39 | 398 | 932 | 537 | 1200.5
40 | 402 | 949 | 546 | 1222
41 | 406 | 968 | 554 | 1245
42 | 410 | 986 | 563 | 1267.5
43 | 414 | 1005 | 572 | 1291
44 | 418 | 1024 | 581 | 1314.5
45 | 422 | 1044 | 590 | 1339
46 | 427 | 1064 | 599 | 1363.5
47 | 431 | 1084 | 608 | 1388
48 | 435 | 1105 | 617 | 1413.5
49 | 439 | 1127 | 627 | 1440.5
50 | 444 | 1148 | 637 | 1466.5
51 | 448 | 1170 | 647 | 1493.5
52 | 452 | 1193 | 657 | 1521.5
53 | 457 | 1216 | 667 | 1549.5
54 | 461 | 1239 | 677 | 1577.5
55 | 466 | 1263 | 688 | 1607
56 | 470 | 1287 | 698 | 1636
57 | 475 | 1312 | 709 | 1666.5
58 | 480 | 1337 | 720 | 1697
59 | 484 | 1362 | 732 | 1728
60 | 489 | 1389 | 743 | 1760.5
61 | 494 | 1415 | 754 | 1792
62 | 499 | 1442 | 766 | 1825
63 | 504 | 1470 | 778 | 1859
64 | 509 | 1498 | 790 | 1893
65 | 514 | 1527 | 802 | 1928
66 | 519 | 1557 | 815 | 1964.5
67 | 524 | 1586 | 828 | 2000
68 | 529 | 1617 | 840 | 2037
69 | 534 | 1648 | 853 | 2074.5
70 | 539 | 1680 | 867 | 2113.5
71 | 544 | 1712 | 880 | 2152
72 | 550 | 1745 | 894 | 2192
73 | 555 | 1778 | 908 | 2232
74 | 561 | 1812 | 922 | 2273
75 | 566 | 1847 | 936 | 2315
76 | 571 | 1853 | 939 | 2322.5
77 | 576 | 1859 | 942 | 2330
78 | 581 | 1865 | 945 | 2337.5
79 | 586 | 1871 | 948 | 2345
80 | 591 | 1877 | 951 | 2352.5
81 | 596 | 1883 | 954 | 2360
82 | 601 | 1889 | 957 | 2367.5
83 | 606 | 1895 | 960 | 2375
84 | 611 | 1901 | 963 | 2382.5
85 | 616 | 1907 | 966 | 2390
86 | 621 | 1913 | 969 | 2397.5
87 | 626 | 1919 | 972 | 2405
88 | 631 | 1925 | 975 | 2412.5
89 | 636 | 1931 | 978 | 2420
90 | 641 | 1937 | 981 | 2427.5
91 | 646 | 1943 | 984 | 2435
92 | 651 | 1949 | 987 | 2442.5
93 | 656 | 1955 | 990 | 2450
94 | 661 | 1961 | 993 | 2457.5
95 | 666 | 1967 | 996 | 2465
96 | 671 | 1973 | 999 | 2472.5
97 | 676 | 1979 | 1002 | 2480
98 | 681 | 1985 | 1005 | 2487.5
99 | 686 | 1991 | 1008 | 2495
100 | 691 | 1997 | 1011 | 2502.5
101 | 696 | 2003 | 1014 | 2510
102 | 701 | 2009 | 1017 | 2517.5
103 | 706 | 2015 | 1020 | 2525
104 | 711 | 2021 | 1023 | 2532.5
105 | 716 | 2027 | 1026 | 2540
106 | 721 | 2033 | 1029 | 2547.5
107 | 726 | 2039 | 1032 | 2555
108 | 731 | 2045 | 1035 | 2562.5
109 | 736 | 2051 | 1038 | 2570
110 | 741 | 2057 | 1041 | 2577.5
111 | 746 | 2063 | 1044 | 2585
112 | 751 | 2069 | 1047 | 2592.5
113 | 756 | 2075 | 1050 | 2600
114 | 761 | 2081 | 1053 | 2607.5
115 | 766 | 2087 | 1056 | 2615
Lv | HP | Attack | Defense | BP
Waker
Lv | HP | Attack | Defense | BP
1 | 255 | 451 | 302 | 602
2 | 258 | 460 | 307 | 613.5
3 | 260 | 468 | 311 | 623.5
4 | 263 | 477 | 316 | 635
5 | 265 | 487 | 321 | 647.5
6 | 268 | 496 | 326 | 659
7 | 270 | 506 | 331 | 671.5
8 | 273 | 515 | 336 | 683
9 | 276 | 525 | 341 | 695.5
10 | 278 | 535 | 347 | 708.5
11 | 281 | 546 | 352 | 722
12 | 284 | 556 | 357 | 734.5
13 | 287 | 567 | 363 | 748.5
14 | 289 | 578 | 368 | 762
15 | 292 | 589 | 374 | 776
16 | 295 | 600 | 380 | 790
17 | 298 | 611 | 386 | 804
18 | 301 | 623 | 392 | 819
19 | 304 | 635 | 398 | 834
20 | 307 | 647 | 404 | 849
21 | 310 | 660 | 410 | 865
22 | 313 | 673 | 416 | 881
23 | 316 | 685 | 423 | 896.5
24 | 319 | 699 | 429 | 913.5
25 | 322 | 712 | 436 | 930
26 | 325 | 726 | 443 | 947.5
27 | 329 | 740 | 450 | 965
28 | 332 | 754 | 457 | 982.5
29 | 335 | 768 | 464 | 1000
30 | 338 | 783 | 471 | 1018.5
31 | 342 | 798 | 478 | 1037
32 | 345 | 814 | 485 | 1056.5
33 | 348 | 829 | 493 | 1075.5
34 | 352 | 845 | 501 | 1095.5
35 | 355 | 861 | 508 | 1115
36 | 359 | 878 | 516 | 1136
37 | 362 | 895 | 524 | 1157
38 | 366 | 912 | 532 | 1178
39 | 369 | 930 | 540 | 1200
40 | 373 | 947 | 549 | 1221.5
41 | 377 | 966 | 557 | 1244.5
42 | 380 | 984 | 566 | 1267
43 | 384 | 1003 | 575 | 1290.5
44 | 388 | 1022 | 584 | 1314
45 | 392 | 1042 | 593 | 1338.5
46 | 396 | 1062 | 602 | 1363
47 | 399 | 1082 | 611 | 1387.5
48 | 403 | 1103 | 620 | 1413
49 | 407 | 1125 | 630 | 1440
50 | 411 | 1146 | 640 | 1466
51 | 415 | 1168 | 650 | 1493
52 | 419 | 1191 | 660 | 1521
53 | 424 | 1214 | 670 | 1549
54 | 428 | 1237 | 680 | 1577
55 | 432 | 1261 | 691 | 1606.5
56 | 436 | 1285 | 701 | 1635.5
57 | 440 | 1310 | 712 | 1666
58 | 445 | 1335 | 723 | 1696.5
59 | 449 | 1360 | 735 | 1727.5
60 | 453 | 1387 | 746 | 1760
61 | 458 | 1413 | 757 | 1791.5
62 | 462 | 1440 | 769 | 1824.5
63 | 467 | 1468 | 781 | 1858.5
64 | 472 | 1496 | 793 | 1892.5
65 | 476 | 1525 | 805 | 1927.5
66 | 481 | 1555 | 818 | 1964
67 | 486 | 1584 | 831 | 1999.5
68 | 490 | 1615 | 843 | 2036.5
69 | 495 | 1646 | 856 | 2074
70 | 500 | 1678 | 870 | 2113
71 | 505 | 1710 | 883 | 2151.5
72 | 510 | 1743 | 897 | 2191.5
73 | 515 | 1776 | 911 | 2231.5
74 | 520 | 1810 | 925 | 2272.5
75 | 525 | 1845 | 939 | 2314.5
76 | 529 | 1851 | 942 | 2322
77 | 533 | 1857 | 945 | 2329.5
78 | 537 | 1863 | 948 | 2337
79 | 541 | 1869 | 951 | 2344.5
80 | 545 | 1875 | 954 | 2352
81 | 549 | 1881 | 957 | 2359.5
82 | 553 | 1887 | 960 | 2367
83 | 557 | 1893 | 963 | 2374.5
84 | 561 | 1899 | 966 | 2382
85 | 565 | 1905 | 969 | 2389.5
86 | 569 | 1911 | 972 | 2397
87 | 573 | 1917 | 975 | 2404.5
88 | 577 | 1923 | 978 | 2412
89 | 581 | 1929 | 981 | 2419.5
90 | 585 | 1935 | 984 | 2427
91 | 589 | 1941 | 987 | 2434.5
92 | 593 | 1947 | 990 | 2442
93 | 597 | 1953 | 993 | 2449.5
94 | 601 | 1959 | 996 | 2457
95 | 605 | 1965 | 999 | 2464.5
96 | 609 | 1971 | 1002 | 2472
97 | 613 | 1977 | 1005 | 2479.5
98 | 617 | 1983 | 1008 | 2487
99 | 621 | 1989 | 1011 | 2494.5
100 | 625 | 1995 | 1014 | 2502
101 | 629 | 2001 | 1017 | 2509.5
102 | 633 | 2007 | 1020 | 2517
103 | 637 | 2013 | 1023 | 2524.5
104 | 641 | 2019 | 1026 | 2532
105 | 645 | 2025 | 1029 | 2539.5
106 | 649 | 2031 | 1032 | 2547
107 | 653 | 2037 | 1035 | 2554.5
108 | 657 | 2043 | 1038 | 2562
109 | 661 | 2049 | 1041 | 2569.5
110 | 665 | 2055 | 1044 | 2577
111 | 669 | 2061 | 1047 | 2584.5
112 | 673 | 2067 | 1050 | 2592
113 | 677 | 2073 | 1053 | 2599.5
114 | 681 | 2079 | 1056 | 2607
115 | 685 | 2085 | 1059 | 2614.5
Lv | HP | Attack | Defense | BP
Slayer
Lv | HP | Attack | Defense | BP
1 | 220 | 455 | 296 | 603
2 | 222 | 464 | 301 | 614.5
3 | 224 | 472 | 305 | 624.5
4 | 227 | 481 | 310 | 636
5 | 229 | 491 | 315 | 648.5
6 | 231 | 500 | 320 | 660
7 | 233 | 510 | 325 | 672.5
8 | 236 | 519 | 330 | 684
9 | 238 | 529 | 335 | 696.5
10 | 240 | 539 | 341 | 709.5
11 | 243 | 550 | 346 | 723
12 | 245 | 560 | 351 | 735.5
13 | 247 | 571 | 357 | 749.5
14 | 250 | 582 | 362 | 763
15 | 252 | 593 | 368 | 777
16 | 255 | 604 | 374 | 791
17 | 257 | 615 | 380 | 805
18 | 260 | 627 | 386 | 820
19 | 262 | 639 | 392 | 835
20 | 265 | 651 | 398 | 850
21 | 267 | 664 | 404 | 866
22 | 270 | 677 | 410 | 882
23 | 273 | 689 | 417 | 897.5
24 | 275 | 703 | 423 | 914.5
25 | 278 | 716 | 430 | 931
26 | 281 | 730 | 437 | 948.5
27 | 284 | 744 | 444 | 966
28 | 286 | 758 | 451 | 983.5
29 | 289 | 772 | 458 | 1001
30 | 292 | 787 | 465 | 1019.5
31 | 295 | 802 | 472 | 1038
32 | 298 | 818 | 479 | 1057.5
33 | 301 | 833 | 487 | 1076.5
34 | 304 | 849 | 495 | 1096.5
35 | 307 | 865 | 502 | 1116
36 | 310 | 882 | 510 | 1137
37 | 313 | 899 | 518 | 1158
38 | 316 | 916 | 526 | 1179
39 | 319 | 934 | 534 | 1201
40 | 322 | 951 | 543 | 1222.5
41 | 325 | 970 | 551 | 1245.5
42 | 328 | 988 | 560 | 1268
43 | 331 | 1007 | 569 | 1291.5
44 | 335 | 1026 | 578 | 1315
45 | 338 | 1046 | 587 | 1339.5
46 | 341 | 1066 | 596 | 1364
47 | 345 | 1086 | 605 | 1388.5
48 | 348 | 1107 | 614 | 1414
49 | 351 | 1129 | 624 | 1441
50 | 355 | 1150 | 634 | 1467
51 | 358 | 1172 | 644 | 1494
52 | 362 | 1195 | 654 | 1522
53 | 365 | 1218 | 664 | 1550
54 | 369 | 1241 | 674 | 1578
55 | 373 | 1265 | 685 | 1607.5
56 | 376 | 1289 | 695 | 1636.5
57 | 380 | 1314 | 706 | 1667
58 | 384 | 1339 | 717 | 1697.5
59 | 387 | 1364 | 729 | 1728.5
60 | 391 | 1391 | 740 | 1761
61 | 395 | 1417 | 751 | 1792.5
62 | 399 | 1444 | 763 | 1825.5
63 | 403 | 1472 | 775 | 1859.5
64 | 407 | 1500 | 787 | 1893.5
65 | 411 | 1529 | 799 | 1928.5
66 | 415 | 1559 | 812 | 1965
67 | 419 | 1588 | 828 | 2002
68 | 423 | 1619 | 837 | 2037.5
69 | 427 | 1650 | 850 | 2075
70 | 431 | 1682 | 864 | 2114
71 | 436 | 1714 | 877 | 2152.5
72 | 440 | 1747 | 891 | 2192.5
73 | 444 | 1780 | 905 | 2232.5
74 | 449 | 1814 | 919 | 2273.5
75 | 453 | 1849 | 933 | 2315.5
76 | 457 | 1855 | 936 | 2323
77 | 461 | 1861 | 939 | 2330.5
78 | 465 | 1867 | 942 | 2338
79 | 469 | 1873 | 945 | 2345.5
80 | 473 | 1879 | 948 | 2353
81 | 477 | 1885 | 951 | 2360.5
82 | 481 | 1891 | 954 | 2368
83 | 485 | 1897 | 957 | 2375.5
84 | 489 | 1903 | 960 | 2383
85 | 493 | 1909 | 963 | 2390.5
86 | 497 | 1915 | 966 | 2398
87 | 501 | 1921 | 969 | 2405.5
88 | 505 | 1927 | 972 | 2413
89 | 509 | 1933 | 975 | 2420.5
90 | 513 | 1939 | 978 | 2428
91 | 517 | 1945 | 981 | 2435.5
92 | 521 | 1951 | 984 | 2443
93 | 525 | 1957 | 987 | 2450.5
94 | 529 | 1963 | 990 | 2458
95 | 533 | 1969 | 993 | 2465.5
96 | 537 | 1975 | 996 | 2473
97 | 541 | 1981 | 999 | 2480.5
98 | 545 | 1987 | 1002 | 2488
99 | 549 | 1993 | 1005 | 2495.5
100 | 553 | 1999 | 1008 | 2503
101 | 557 | 2005 | 1011 | 2510.5
102 | 561 | 2011 | 1014 | 2518
103 | 565 | 2017 | 1017 | 2525.5
104 | 569 | 2023 | 1020 | 2533
105 | 573 | 2029 | 1023 | 2540.5
106 | 577 | 2035 | 1026 | 2548
107 | 581 | 2041 | 1029 | 2555.5
108 | 585 | 2047 | 1032 | 2563
109 | 589 | 2053 | 1035 | 2570.5
110 | 593 | 2059 | 1038 | 2578
111 | 597 | 2065 | 1041 | 2585.5
112 | 601 | 2071 | 1044 | 2593
113 | 605 | 2077 | 1047 | 2600.5
114 | 609 | 2083 | 1050 | 2608
115 | 613 | 2089 | 1053 | 2615.5
Lv | HP | Attack | Defense | BP
